단지번호,단지명,풍력기번호(임시),준공일,분류,주소,엑스좌표(GRS80_C_x),와이좌표(GRS80_C_y),위도(lat),경도(lon)
3,영덕,24,2006-01-01,육상,경상북도 영덕군 영덕읍 화수리,428302.7316,418084.4526,36.42815144,129.4317579
4,한경,1,2007-12-01,육상,제주특별자치도 제주시 한경면 용수리 3879-5,83677.3053,122641.7971,33.3437,126.169
4,한경,2,2007-12-01,육상,제주특별자치도 제주시 한경면 용수리 3879-5,83446.6139,122360.6541,33.3416,126.166
4,한경,3,2007-12-01,육상,제주특별자치도 제주시 한경면 용수리 3879-5,82780.3785,122448.4316,33.3356,126.167
4,한경,4,2007-12-01,육상,제주특별자치도 제주시 한경면 용수리 3879-5,82598.8059,121990.7443,33.333932,126.162067
4,한경,5,2007-12-01,육상,제주특별자치도 제주시 한경면 용수리 3879-5,83663.2522,123014.0814,33.3436,126.173
4,한경,6,2007-12-01,육상,제주특별자치도 제주시 한경면 용수리 3879-5,83864.3786,122829.483,33.3454,126.171
4,한경2,7,2007-12-01,육상,제주특별자치도 제주시 한경면 용수리 3879-5,83136.0513,122358.1693,33.3388,126.166
4,한경2,8,2007-12-01,육상,제주특별자치도 제주시 한경면 용수리 3879-5,82712.3434,122634.1046,33.335,126.169
4,한경1,9,2007-12-01,육상,제주특별자치도 제주시 한경면 용수리 3879-5,82949.734,122077.3604,33.3371,126.163
5,강원,1,2006-09-01,육상,강원도 평창군 대관령면 횡계리,574840.7109,350869.2915,37.76088969,128.7120854
5,강원,2,2006-09-01,육상,강원도 평창군 대관령면 횡계리,574660.2722,351015.416,37.75924063,128.7137054
5,강원,3,2006-09-01,육상,강원도 평창군 대관령면 횡계리,574502.6809,351245.5607,37.75778342,128.7162832
5,강원,4,2006-09-01,육상,강원도 평창군 대관령면 횡계리,574248.8489,351411.4849,37.75547008,128.7181124
5,강원,5,2006-09-01,육상,강원도 평창군 대관령면 횡계리,574189.4301,351729.9445,37.75488225,128.7217122
5,강원,6,2006-09-01,육상,강원도 평창군 대관령면 횡계리,573940.4369,351799.1878,37.75262844,128.7224456
5,강원,7,2006-09-01,육상,강원도 평창군 대관령면 횡계리,573717.7768,351859.984,37.75061317,128.7230886
5,강원,8,2006-09-01,육상,강원도 평창군 대관령면 횡계리,573500.9001,351969.539,37.74864189,128.7242858
5,강원,9,2006-09-01,육상,강원도 평창군 대관령면 횡계리,573399.9048,352306.0635,37.74767645,128.7280814
5,강원,10,2006-09-01,육상,강원도 평창군 대관령면 횡계리,573247.1565,352041.6449,37.74634481,128.7250506
5,강원,11,2006-09-01,육상,강원도 평창군 대관령면 횡계리,572954.1843,351723.7321,37.74375914,128.7213839
5,강원,12,2006-09-01,육상,강원도 평창군 대관령면 횡계리,572409.4619,351744.0186,37.73885022,128.7215003
5,강원,13,2006-09-01,육상,강원도 평창군 대관령면 횡계리,573264.4171,352577.5678,37.74641111,128.7311322
5,강원,14,2006-09-01,육상,강원도 평창군 대관령면 횡계리,572676.9007,353315.3509,37.74099699,128.7393756
5,강원,15,2006-09-01,육상,강원도 평창군 대관령면 횡계리,572726.8028,353670.8259,37.74138682,128.7434173
5,강원,16,2006-09-01,육상,강원도 평창군 대관령면 횡계리,572506.1554,353671.2653,37.7393997,128.7433757
5,강원,17,2006-09-01,육상,강원도 평창군 대관령면 횡계리,572470.7415,353415.9137,37.73912358,128.7404725
5,강원,18,2006-09-01,육상,강원도 평창군 대관령면 횡계리,572161.719,353606.5802,37.73630872,128.7425694
5,강원,19,2006-09-01,육상,강원도 평창군 대관령면 횡계리,571898.3479,353779.5655,37.7339079,128.7444753
5,강원,20,2006-09-01,육상,강원도 평창군 대관령면 횡계리,571625.0624,353781.488,37.7314465,128.7444394
5,강원,21,2006-09-01,육상,강원도 평창군 대관령면 횡계리,571226.9178,353745.8873,37.72786698,128.7439516
5,강원,22,2006-09-01,육상,강원도 평창군 대관령면 횡계리,571040.9302,353857.0566,37.7261734,128.7451727
5,강원,23,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570889.2935,353665.0046,37.72484006,128.7429633
5,강원,24,2006-09-01,육상,강원도 평창군 대관령면 횡계리,571150.9396,352994.8334,37.72730846,128.73542
5,강원,25,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570826.9874,353126.4372,37.7243691,128.736844
5,강원,26,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570403.0387,353914.6252,37.72041919,128.7456906
5,강원,27,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570206.948,353840.6633,37.7186657,128.7448106
5,강원,28,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570309.6443,353592.7644,37.71963211,128.7420219
5,강원,29,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570044.38,353354.947,37.71728307,128.7392699
5,강원,30,2006-09-01,육상,강원도 평창군 대관령면 횡계리,569755.9717,353463.6823,37.7146676,128.7404418
5,강원,31,2006-09-01,육상,강원도 평창군 대관령면 횡계리,569521.6799,353465.1282,37.71255743,128.7404089
5,강원,32,2006-09-01,육상,강원도 평창군 대관령면 횡계리,569200.8856,353519.1857,37.70965944,128.740954
5,강원,33,2006-09-01,육상,강원도 평창군 대관령면 횡계리,569298.5386,353244.2264,37.71058486,128.7378578
5,강원,34,2006-09-01,육상,강원도 평창군 대관령면 횡계리,568881.9072,353600.6697,37.70677321,128.7418104
5,강원,35,2006-09-01,육상,강원도 평창군 대관령면 횡계리,572604.631,349404.7496,37.74099241,128.6950127
5,강원,36,2006-09-01,육상,강원도 평창군 대관령면 횡계리,572281.6998,349608.8276,37.73805087,128.6972606
5,강원,37,2006-09-01,육상,강원도 평창군 대관령면 횡계리,571993.7024,349855.1974,37.73541697,128.6999952
5,강원,38,2006-09-01,육상,강원도 평창군 대관령면 횡계리,571788.0861,349694.4434,37.73359153,128.69813
5,강원,39,2006-09-01,육상,강원도 평창군 대관령면 횡계리,571540.6869,349779.8017,37.73134957,128.699047
5,강원,40,2006-09-01,육상,강원도 평창군 대관령면 횡계리,571364.6908,349974.7336,37.72973271,128.701221
5,강원,41,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570967.4941,350216.4294,37.72611607,128.7038796
5,강원,42,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570695.7877,350569.5463,37.72361121,128.7078271
5,강원,43,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570320.8729,350776.7349,37.72020078,128.7100985
5,강원,44,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570709.45,349803.5675,37.72385978,128.6991453
5,강원,45,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570501.957,349836.0255,37.72198584,128.6994706
5,강원,46,2006-09-01,육상,강원도 평창군 대관령면 횡계리,570129.3941,350902.9352,37.71845561,128.7114896
5,강원,47,2006-09-01,육상,강원도 평창군 대관령면 횡계리,569881.0741,350945.273,37.71621235,128.7119181
5,강원,48,2006-09-01,육상,강원도 평창군 대관령면 횡계리,569632.3733,351016.6448,37.71396087,128.7126757
5,강원,49,2006-09-01,육상,강원도 평창군 대관령면 횡계리,569386.1006,351107.9826,37.71172796,128.71366
6,신창,1,2006-03-01,육상,제주특별자치도 제주시,83531.84942,123482.8597,33.34244878,126.1780464
6,신창,2,2006-03-01,육상,제주특별자치도 제주시,83302.14433,122768.4956,33.3403269,126.1703929
7,양양,1,2006-06-01,육상,강원도 양양군 서면 영덕리,603371.1155,331391.2646,38.02084936,128.4963128
7,양양,2,2006-06-01,육상,강원도 양양군 서면 영덕리,602963.045,331357.0051,38.01717916,128.4958481
8,월정,1,2006-09-01,육상,제주특별자치도 제주시,107711.7184,179770.132,33.56298551,126.7821355
10,고리,1,2008-06-01,육상,부산광역시 기장군 장안읍 효암리 258번지,306695.6496,408622.0353,35.33516138,129.2945042
11,태기산,1,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,556863.2017,313106.657,37.60440347,128.2808769
11,태기산,2,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,557108.8212,313028.6548,37.6066255,128.2800317
11,태기산,3,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,557331.1763,313024.1529,37.60862895,128.280015
11,태기산,4,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,557496.2205,312920.2,37.61012837,128.2788635
11,태기산,5,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,557697.5961,312925.7814,37.61194161,128.2789577
11,태기산,6,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,557878.1788,312934.9925,37.6135671,128.2790899
11,태기산,7,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,558048.9231,313032.1732,37.61509317,128.2802167
11,태기산,8,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,558212.8459,313126.3388,37.61655815,128.2813083
11,태기산,9,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,558366.889,313259.7798,37.61792929,128.2828432
11,태기산,10,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,558845.0371,313231.9931,37.62223968,128.2826025
11,태기산,11,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,559019.581,313412.5318,37.62378966,128.2846741
11,태기산,12,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,559204.3662,313543.7886,37.62543794,128.2861893
11,태기산,13,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,559415.5652,313623.2049,37.62733052,128.2871215
11,태기산,14,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,556170.8412,313025.6114,37.59817688,128.2798524
11,태기산,15,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,555981.2615,312959.4447,37.59647733,128.2790741
11,태기산,16,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,555767.7973,312931.7063,37.59455792,128.2787272
11,태기산,17,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,555493.2947,313033.4684,37.59207281,128.2798368
11,태기산,18,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,555313.9331,313139.622,37.59044414,128.2810108
11,태기산,19,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,555081.9535,313205.9605,37.58834639,128.2817259
11,태기산,20,2008-01-01,육상,강원도 횡성군 둔내면 태기리 산1-5번지,554912.3081,313243.3224,37.58681369,128.2821226
12,신안,1,2008-12-01,육상,전라남도 신안군 비금면 구림리 산1-1,242636.4359,102195.0224,34.77484281,125.9315531
12,신안,2,2008-12-01,육상,전라남도 신안군 비금면 구림리 산1-1,242663.0817,102455.1941,34.77510787,125.9343917
12,신안,3,2008-12-01,육상,전라남도 신안군 비금면 구림리 산1-1,242722.0882,102706.6509,34.77566368,125.9371315
13,영양,1,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,445245.9512,399672.7873,36.58472498,129.2309807
13,영양,2,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,445128.1222,399687.2531,36.58366095,129.2311117
13,영양,3,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444993.7192,399723.0871,36.58244321,129.2314769
13,영양,4,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444864.4624,399909.9805,36.58124021,129.2335301
13,영양,5,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444729.6644,399878.7485,36.58003294,129.2331464
13,영양,6,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444588.1127,399811.6174,36.57877237,129.2323602
13,영양,7,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444465.1969,399822.1843,36.57766335,129.2324463
13,영양,8,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444327.8947,399911.1367,36.57640839,129.2334037
13,영양,9,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444217.7991,399960.4798,36.5754067,129.2339261
13,영양,10,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444028.4641,399954.4089,36.57370308,129.2338092
13,영양,11,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,443876.9868,399987.5943,36.57233214,129.2341403
13,영양,12,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,443763.8242,400130.1037,36.57128332,129.2357019
13,영양,13,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,443621.9763,400241.1747,36.56998276,129.236905
13,영양,14,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,443474.5652,400229.2254,36.56865789,129.2367333
13,영양,15,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,443314.062,400213.544,36.56721591,129.2365165
13,영양,16,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,443186.7672,400254.2346,36.56606115,129.2369377
13,영양,17,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,443026.3071,400192.5013,36.5646292,129.2362069
13,영양,18,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,443419.9763,400636.8104,36.56808085,129.241269
13,영양,19,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,443117.601,400827.3056,36.56531808,129.2433167
13,영양,20,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,442997.6006,400929.9131,36.56421596,129.2444308
13,영양,21,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,442876.0554,401102.6303,36.56308517,129.246327
13,영양,22,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,442734.8352,401099.5617,36.5618142,129.246256
13,영양,23,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,442599.9077,401206.4841,36.56057673,129.2474142
13,영양,24,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,442462.2307,401229.3704,36.5593322,129.2476338
13,영양,25,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,442509.5296,400663.7614,36.55987701,129.2413329
13,영양,26,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,442379.045,400695.5079,36.55869538,129.2416533
13,영양,27,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,442250.4398,400625.1024,36.55755213,129.240834
13,영양,28,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,442110.9699,400658.0369,36.55628935,129.2411653
13,영양,29,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,441988.577,400597.5131,36.55519995,129.2404579
13,영양,30,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,441809.0272,400339.9591,36.55363718,129.2375367
13,영양,31,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,441687.7937,400527.6854,36.55250617,129.2396004
13,영양,32,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,441534.4809,400568.9162,36.551117,129.2400207
13,영양,33,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,441390.6578,400488.8157,36.54983872,129.2390893
13,영양,34,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,441245.3295,400528.8792,36.5485217,129.2394987
13,영양,35,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,441127.8102,400606.4063,36.54744722,129.2403333
13,영양,36,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,440954.9017,400620.0133,36.5458874,129.2404402
13,영양,37,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,440802.0953,400493.0472,36.54453806,129.2389836
13,영양,38,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444702.6363,399349.7278,36.57990012,129.227233
13,영양,39,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444477.6546,399266.3133,36.57789165,129.2262435
13,영양,40,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444298.6622,399179.9393,36.5762979,129.2252329
13,영양,41,2008-12-01,육상,경상북도 영양군 석보면 맹동산길 284-40,444142.3937,399079.077,36.57491178,129.2240664
14,삼달,1,2009-09-01,육상,제주특별자치도 서귀포시 성산읍 삼달리 2004번지,89905.50974,182890.4141,33.40249891,126.8160786
14,삼달,2,2009-09-01,육상,제주특별자치도 서귀포시 성산읍 삼달리 2004번지,89588.44751,182940.5133,33.39964103,126.8166232
14,삼달,3,2009-09-01,육상,제주특별자치도 서귀포시 성산읍 삼달리 2004번지,89544.34235,183351.3944,33.39924982,126.8210406
14,삼달,4,2009-09-01,육상,제주특별자치도 서귀포시 성산읍 삼달리 2004번지,89893.79912,183425.6826,33.40240172,126.8218327
14,삼달,5,2009-09-01,육상,제주특별자치도 서귀포시 성산읍 삼달리 2004번지,89558.14225,183965.1802,33.39938358,126.8276381
14,삼달,6,2009-09-01,육상,제주특별자치도 서귀포시 성산읍 삼달리 2004번지,89083.51336,183362.2532,33.39509508,126.8211659
14,삼달,7,2009-09-01,육상,제주특별자치도 서귀포시 성산읍 삼달리 2004번지,88814.30348,183248.4182,33.39266608,126.8199473
14,삼달,8,2009-09-01,육상,제주특별자치도 서귀포시 성산읍 삼달리 2004번지,88906.2217,182983.6302,33.39349066,126.8170995
14,삼달,9,2009-09-01,육상,제주특별자치도 서귀포시 성산읍 삼달리 2004번지,88594.84281,183693.6727,33.39069424,126.824737
14,삼달,10,2009-09-01,육상,제주특별자치도 서귀포시 성산읍 삼달리 2004번지,89055.20907,183918.8435,33.39484837,126.827149
14,삼달,11,2009-09-01,육상,제주특별자치도 서귀포시 성산읍 삼달리 2004번지,89178.70961,184256.4985,33.39596687,126.8307761
15,누에섬,1,2009-12-01,육상,경기도 안산시,510076.6324,167632.3474,37.18923722,126.6354614
15,누에섬,3,2009-12-01,육상,경기도 안산시,510152.5324,167816.7624,37.18992748,126.6375351
15,누에섬,2,2009-12-01,육상,경기도 안산시,510231.4315,168001.1142,37.19064473,126.6396079
16,성산1,1,2009-04-01,육상,제주특별자치도 서귀포시 성산읍 수산리 4403-3,94026.41775,184635.2996,33.4396799,126.834765
16,성산1,2,2009-04-01,육상,제주특별자치도 서귀포시 성산읍 수산리 4403-3,94150.75145,184859.9269,33.4408041,126.8371786
16,성산1,3,2009-04-01,육상,제주특별자치도 서귀포시 성산읍 수산리 4403-3,94069.42113,184375.4492,33.44006387,126.8319698
16,성산1,4,2009-04-01,육상,제주특별자치도 서귀포시 성산읍 수산리 4403-3,94655.30087,185162.3475,33.44535739,126.8404226
16,성산1,5,2009-04-01,육상,제주특별자치도 서귀포시 성산읍 수산리 4403-3,94575.05078,184441.8243,33.44462364,126.8326748
16,성산1,6,2009-04-01,육상,제주특별자치도 서귀포시 성산읍 수산리 4403-3,94609.97066,183829.9994,33.44492942,126.8260942
17,새만금,1,2009-06-01,육상,전라북도 군산시,375115.4369,161564.9743,35.97284421,126.5738667
18,현중,1,2009-06-01,육상,울산광역시 동구 전하1동 현대중공업 사내(2야드),328278.8881,422572.7444,35.52650814,129.4537101
19,김녕,1,2010-04-01,육상,제주특별자치도 제주시,107443.7944,178946.2494,33.56055401,126.7732691
20,성산2,1,2010-01-01,육상,제주특별자치도 서귀포시 성산읍 수산리 일대,94819.29909,184437.4653,33.44682574,126.8326237
20,성산2,2,2010-01-01,육상,제주특별자치도 서귀포시 성산읍 수산리 일대,94741.32671,184198.2918,33.44611923,126.8300528
20,성산2,3,2010-01-01,육상,제주특별자치도 서귀포시 성산읍 수산리 일대,94262.33772,184056.4464,33.44179853,126.8285357
20,성산2,4,2010-01-01,육상,제주특별자치도 서귀포시 성산읍 수산리 일대,94062.12772,184043.8167,33.43999323,126.8284035
21,시화-방아머리,2,2010-01-01,육상,경기도 안산시 대부북동 산1-1 (시화방아머리 일원),521392.1847,162834.7948,37.29101424,126.5808664
21,시화-방아머리,1,2010-01-01,육상,경기도 안산시 대부북동 산1-1 (시화방아머리 일원),521491.8201,162533.6643,37.29189989,126.5774654
22,영월접산,1,2010-01-01,육상,강원도 영월군,518760.3082,332106.509,37.25867579,128.4891629
22,영월접산,2,2010-01-01,육상,강원도 영월군,518646.1607,332103.9178,37.25764799,128.4891134
22,영월접산,3,2010-01-01,육상,강원도 영월군,518493.3795,332120.1578,37.25626953,128.4892693
23,용대,1,2013-08-01,육상,"강원도 인제군 북면 황태길 75 용대리 450-5, 12",623130.5226,318563.227,38.2005828,128.3535445
23,용대,2,2013-08-01,육상,"강원도 인제군 북면 황태길 75 용대리 450-5, 12",623093.8256,318696.7774,38.20023471,128.3550626
23,용대,3,2013-08-01,육상,"강원도 인제군 북면 황태길 75 용대리 450-5, 12",623084.1568,318826.7877,38.20013049,128.3565449
23,용대,4,2013-08-01,육상,"강원도 인제군 북면 황태길 75 용대리 450-5, 12",623200.471,318820.7866,38.20117886,128.3564958
23,용대,5,2013-08-01,육상,"강원도 인제군 북면 황태길 75 용대리 450-5, 12",623248.3012,318700.0914,38.20162555,128.3551263
23,용대,6,2013-08-01,육상,"강원도 인제군 북면 황태길 75 용대리 450-5, 12",623311.0247,318627.0794,38.20220008,128.3543034
23,용대,7,2013-08-01,육상,"강원도 인제군 북면 황태길 75 용대리 450-5, 12",623334.3897,318552.1129,38.20242039,128.3534517
25,영흥1,1,2011-07-01,육상,인천광역시 옹진군 영흥면 영흥남로293번길 52 인천 옹진군 영흥면 외리 산168번지,519262.7709,150304.7707,37.27124358,126.4397057
25,영흥1,2,2011-07-01,육상,인천광역시 옹진군 영흥면 영흥남로293번길 52 인천 옹진군 영흥면 외리 산168번지,519564.9947,149916.0837,37.27394579,126.4353032
25,영흥1,3,2011-07-01,육상,인천광역시 옹진군 영흥면 영흥남로293번길 52 인천 옹진군 영흥면 외리 산168번지,519308.6878,149972.9604,37.27163953,126.4359617
25,영흥1,4,2011-07-01,육상,인천광역시 옹진군 영흥면 영흥남로293번길 52 인천 옹진군 영흥면 외리 산168번지,519083.5483,149909.9539,37.26960764,126.4352665
25,영흥1,5,2011-07-01,육상,인천광역시 옹진군 영흥면 영흥남로293번길 52 인천 옹진군 영흥면 외리 산168번지,518836.713,150224.6212,37.26740053,126.4388305
